2015-05-04 21:44:27.377395 |      MouseMoveHooker |           NSMouseMoved | y=1617.515625 x=219.34765625
2015-05-04 21:44:27.393659 |      MouseMoveHooker |           NSMouseMoved | y=1566.43359375 x=143.2421875
2015-05-04 21:44:27.408063 |      MouseMoveHooker |           NSMouseMoved | y=1511.1796875 x=51.5
2015-05-04 21:44:27.421445 |      MouseMoveHooker |           NSMouseMoved | y=1511.1796875 x=51.5
2015-05-04 21:44:27.441533 |      MouseMoveHooker |           NSMouseMoved | y=1463.2265625 x=-35.0703125
2015-05-04 21:44:27.458598 |      MouseMoveHooker |           NSMouseMoved | y=1434.03515625 x=-83.02734375
2015-05-04 21:44:27.473516 |      MouseMoveHooker |           NSMouseMoved | y=1415.26953125 x=-114.30078125
2015-05-04 21:44:27.491694 |      MouseMoveHooker |           NSMouseMoved | y=1401.71484375 x=-134.109375
2015-05-04 21:44:27.508533 |      MouseMoveHooker |           NSMouseMoved | y=1393.375 x=-145.578125
2015-05-04 21:44:27.525086 |      MouseMoveHooker |           NSMouseMoved | y=1388.1640625 x=-153.91796875
2015-05-04 21:44:27.544321 |      MouseMoveHooker |           NSMouseMoved | y=1386.078125 x=-156.69921875
2015-05-04 21:44:27.559857 |      MouseMoveHooker |           NSMouseMoved | y=1385.078125 x=-156.69921875
2015-05-04 21:44:27.745503 |      MouseMoveHooker |           NSMouseMoved | y=1379.8671875 x=-161.91015625
2015-05-04 21:44:27.761996 |      MouseMoveHooker |           NSMouseMoved | y=1365.26953125 x=-176.5078125
2015-05-04 21:44:27.780159 |      MouseMoveHooker |           NSMouseMoved | y=1344.421875 x=-203.61328125
2015-05-04 21:44:27.794881 |      MouseMoveHooker |           NSMouseMoved | y=1331.421875 x=-221.61328125
2015-05-04 21:44:27.813721 |      MouseMoveHooker |           NSMouseMoved | y=1309.875 x=-251.49609375
2015-05-04 21:44:27.832592 |      MouseMoveHooker |           NSMouseMoved | y=1282.76953125 x=-287.984375
2015-05-04 21:44:27.846772 |      MouseMoveHooker |           NSMouseMoved | y=1282.76953125 x=-287.984375
2015-05-04 21:44:27.863568 |      MouseMoveHooker |           NSMouseMoved | y=1277.55859375 x=-295.28125
2015-05-04 21:44:27.880736 |      MouseMoveHooker |           NSMouseMoved | y=1271.30078125 x=-303.625
2015-05-04 21:44:27.897924 |      MouseMoveHooker |           NSMouseMoved | y=1269.30078125 x=-306.625
2015-05-04 21:44:28.092905 |    MouseButtonHooker |        NSLeftMouseDown | y=1269.30078125 x=-306.625
2015-05-04 21:44:28.103070 |         ScreenHooker |          NSLeftMouseUp | name= h=336.0 y=-812.0 w=591.0 owner=Finder x=298.0
