2015-05-01 14:00:53.081568 |      MouseMoveHooker |           NSMouseMoved | y=1181.2421875 x=1229.3046875
2015-05-01 14:00:53.095471 |      MouseMoveHooker |           NSMouseMoved | y=1181.2421875 x=1229.3046875
2015-05-01 14:00:53.110604 |      MouseMoveHooker |           NSMouseMoved | y=1190.625 x=1188.64453125
2015-05-01 14:00:53.128615 |      MouseMoveHooker |           NSMouseMoved | y=1205.21875 x=1133.390625
2015-05-01 14:00:53.146968 |      MouseMoveHooker |           NSMouseMoved | y=1225.02734375 x=1070.83984375
2015-05-01 14:00:53.176677 |      MouseMoveHooker |           NSMouseMoved | y=1253.17578125 x=982.2265625
2015-05-01 14:00:53.188255 |      MouseMoveHooker |           NSMouseMoved | y=1262.55859375 x=957.20703125
2015-05-01 14:00:53.200196 |      MouseMoveHooker |           NSMouseMoved | y=1266.73046875 x=941.21875
2015-05-01 14:00:53.212521 |      MouseMoveHooker |           NSMouseMoved | y=1266.73046875 x=941.21875
2015-05-01 14:00:53.231301 |      MouseMoveHooker |           NSMouseMoved | y=1268.8125 x=930.796875
2015-05-01 14:00:53.247930 |      MouseMoveHooker |           NSMouseMoved | y=1268.8125 x=925.58203125
2015-05-01 14:00:53.264377 |      MouseMoveHooker |           NSMouseMoved | y=1268.8125 x=924.58203125
2015-05-01 14:00:53.503386 |      MouseMoveHooker |           NSMouseMoved | y=1268.8125 x=920.58203125
2015-05-01 14:00:53.515952 |      MouseMoveHooker |           NSMouseMoved | y=1275.0703125 x=879.92578125
2015-05-01 14:00:53.534279 |      MouseMoveHooker |           NSMouseMoved | y=1284.453125 x=797.56640625
2015-05-01 14:00:53.551809 |      MouseMoveHooker |           NSMouseMoved | y=1289.6640625 x=724.58984375
2015-05-01 14:00:53.568487 |      MouseMoveHooker |           NSMouseMoved | y=1295.91796875 x=638.05859375
2015-05-01 14:00:53.585336 |      MouseMoveHooker |           NSMouseMoved | y=1299.046875 x=588.01953125
2015-05-01 14:00:53.604593 |      MouseMoveHooker |           NSMouseMoved | y=1299.046875 x=541.10546875
2015-05-01 14:00:53.619310 |      MouseMoveHooker |           NSMouseMoved | y=1299.046875 x=519.21484375
2015-05-01 14:00:53.637361 |      MouseMoveHooker |           NSMouseMoved | y=1299.046875 x=505.3125
