Hooker 2015-05-02 16:52:05.993457 |      MouseMoveHooker |           NSMouseMoved | y=169.7890625 x=563.15234375
Hooker 2015-05-02 16:52:06.008693 |      MouseMoveHooker |           NSMouseMoved | y=183.3359375 x=576.69921875
Hooker 2015-05-02 16:52:06.022289 |      MouseMoveHooker |           NSMouseMoved | y=183.3359375 x=576.69921875
Hooker 2015-05-02 16:52:06.038845 |      MouseMoveHooker |           NSMouseMoved | y=198.96875 x=594.41796875
Hooker 2015-05-02 16:52:06.055819 |      MouseMoveHooker |           NSMouseMoved | y=212.51953125 x=612.1328125
Hooker 2015-05-02 16:52:06.071921 |      MouseMoveHooker |           NSMouseMoved | y=223.98046875 x=630.89453125
Hooker 2015-05-02 16:52:06.089436 |      MouseMoveHooker |           NSMouseMoved | y=233.015625 x=648.95703125
Hooker 2015-05-02 16:52:06.107954 |      MouseMoveHooker |           NSMouseMoved | y=240.30859375 x=665.6328125
Hooker 2015-05-02 16:52:06.124164 |      MouseMoveHooker |           NSMouseMoved | y=244.4765625 x=678.13671875
Hooker 2015-05-02 16:52:06.141207 |      MouseMoveHooker |           NSMouseMoved | y=249.6875 x=691.6875
Hooker 2015-05-02 16:52:06.159913 |      MouseMoveHooker |           NSMouseMoved | y=251.7734375 x=700.0234375
Hooker 2015-05-02 16:52:06.177762 |      MouseMoveHooker |           NSMouseMoved | y=253.85546875 x=706.27734375
Hooker 2015-05-02 16:52:06.193956 |      MouseMoveHooker |           NSMouseMoved | y=254.8984375 x=708.359375
Hooker 2015-05-02 16:52:06.211915 |      MouseMoveHooker |           NSMouseMoved | y=254.8984375 x=709.40234375
Hooker 2015-05-02 16:52:06.468480 |      MouseMoveHooker |           NSMouseMoved | y=260.109375 x=709.40234375
Hooker 2015-05-02 16:52:06.483011 |      MouseMoveHooker |           NSMouseMoved | y=284.078125 x=712.52734375
Hooker 2015-05-02 16:52:06.499082 |      MouseMoveHooker |           NSMouseMoved | y=316.38671875 x=719.82421875
Hooker 2015-05-02 16:52:06.518217 |      MouseMoveHooker |           NSMouseMoved | y=360.15625 x=729.203125
Hooker 2015-05-02 16:52:06.532896 |      MouseMoveHooker |           NSMouseMoved | y=394.55078125 x=736.5
Hooker 2015-05-02 16:52:06.550979 |      MouseMoveHooker |           NSMouseMoved | y=414.3515625 x=742.75
Hooker 2015-05-02 16:52:06.566769 |      MouseMoveHooker |           NSMouseMoved | y=426.85546875 x=746.921875
Hooker 2015-05-02 16:52:06.585327 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=751.78515625
Hooker 2015-05-02 16:52:08.000481 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=748.65625
Hooker 2015-05-02 16:52:08.018560 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=744.48828125
Hooker 2015-05-02 16:52:08.031888 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=741.36328125
Hooker 2015-05-02 16:52:08.043952 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=741.36328125
Hooker 2015-05-02 16:52:08.056487 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=738.234375
Hooker 2015-05-02 16:52:08.075644 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=737.1953125
Hooker 2015-05-02 16:52:08.093861 |      MouseMoveHooker |           NSMouseMoved | y=435.19140625 x=736.15234375
Hooker 2015-05-02 16:52:08.109990 |      MouseMoveHooker |           NSMouseMoved | y=436.234375 x=736.15234375
Hooker 2015-05-02 16:52:08.427966 |      MouseMoveHooker |           NSMouseMoved | y=435.5390625 x=736.15234375
Hooker 2015-05-02 16:52:08.959918 |         ScreenHooker |          NSScrollWheel | name= h=22.0 y=0.0 w=26.0 owner=Google Chrome x=842.0
Hooker 2015-05-02 16:52:09.136587 |      MouseMoveHooker |           NSMouseMoved | y=435.5390625 x=734.15234375
Hooker 2015-05-02 16:52:09.154089 |      MouseMoveHooker |           NSMouseMoved | y=436.58203125 x=728.94140625
Hooker 2015-05-02 16:52:09.171365 |      MouseMoveHooker |           NSMouseMoved | y=443.87890625 x=719.5625
Hooker 2015-05-02 16:52:09.190355 |      MouseMoveHooker |           NSMouseMoved | y=461.59375 x=698.71875
Hooker 2015-05-02 16:52:09.212899 |      MouseMoveHooker |           NSMouseMoved | y=479.3125 x=684.12890625
Hooker 2015-05-02 16:52:09.239037 |      MouseMoveHooker |           NSMouseMoved | y=509.53515625 x=654.6015625
Hooker 2015-05-02 16:52:09.248678 |      MouseMoveHooker |           NSMouseMoved | y=509.53515625 x=654.6015625
Hooker 2015-05-02 16:52:09.255748 |      MouseMoveHooker |           NSMouseMoved | y=514.74609375 x=650.4296875
Hooker 2015-05-02 16:52:09.274658 |      MouseMoveHooker |           NSMouseMoved | y=519.95703125 x=646.26171875
Hooker 2015-05-02 16:52:09.290030 |      MouseMoveHooker |           NSMouseMoved | y=523.08203125 x=643.13671875
Hooker 2015-05-02 16:52:09.306953 |      MouseMoveHooker |           NSMouseMoved | y=525.16796875 x=642.09375
Hooker 2015-05-02 16:52:09.324004 |      MouseMoveHooker |           NSMouseMoved | y=527.25 x=640.0078125
Hooker 2015-05-02 16:52:09.340102 |      MouseMoveHooker |           NSMouseMoved | y=528.640625 x=639.31640625
Hooker 2015-05-02 16:52:09.357256 |      MouseMoveHooker |           NSMouseMoved | y=529.68359375 x=638.2734375
Hooker 2015-05-02 16:52:09.381041 |      MouseMoveHooker |           NSMouseMoved | y=529.68359375 x=637.578125
Hooker 2015-05-02 16:52:09.401180 |      MouseMoveHooker |           NSMouseMoved | y=530.72265625 x=637.578125
Hooker 2015-05-02 16:52:09.433529 |      MouseMoveHooker |           NSMouseMoved | y=531.41796875 x=637.578125
Hooker 2015-05-02 16:52:09.468746 |      MouseMoveHooker |           NSMouseMoved | y=532.11328125 x=637.578125
Hooker 2015-05-02 16:52:09.577393 |      MouseMoveHooker |           NSMouseMoved | y=532.80859375 x=637.578125
Hooker 2015-05-02 16:52:09.672043 |      MouseMoveHooker |           NSMouseMoved | y=532.80859375 x=636.53515625
Hooker 2015-05-02 16:52:10.267964 |      MouseMoveHooker |           NSMouseMoved | y=533.8515625 x=636.53515625
